date,temp_max,temp_min,temp_mean,precipitation
2024-03-29,13.1,2.7,7.1,5.0
2024-03-30,14.2,0.5,6.4,1.0
2024-03-31,14.4,0.1,7.2,0.0
2024-04-01,16.2,3.1,8.9,0.0
2024-04-02,21.2,2.8,11.6,0.0
2024-04-03,16.3,9.7,12.6,0.5
2024-04-04,18.4,9.2,12.9,0.0
2024-04-05,16.2,6.8,11.8,0.1
2024-04-06,16.6,4.6,9.8,0.0
2024-04-07,20.8,4.1,11.8,0.0
2024-04-08,20.7,6.7,13.3,0.0
2024-04-09,17.5,8.0,12.2,0.0
2024-04-10,17.7,6.2,11.7,0.0
2024-04-11,19.2,8.5,12.8,0.5
2024-04-12,22.5,6.6,14.1,0.0
2024-04-13,26.4,8.6,16.1,0.0
2024-04-14,28.1,9.2,18.0,0.0
2024-04-15,17.7,10.2,14.9,19.1
2024-04-16,15.7,7.3,11.6,0.8
2024-04-17,20.9,6.8,11.9,0.0
2024-04-18,23.5,8.4,14.7,0.0
2024-04-19,21.4,7.1,14.4,0.0
2024-04-20,15.2,11.9,13.1,5.7
2024-04-21,20.6,12.2,15.8,0.1
2024-04-22,23.4,13.3,16.9,0.0
2024-04-23,22.2,10.3,15.5,1.2
2024-04-24,17.4,9.5,12.8,12.1
2024-04-25,19.8,9.5,12.7,0.0
2024-04-26,23.8,8.6,15.1,0.0
2024-04-27,24.4,9.2,15.5,0.0
2024-04-28,26.7,10.3,17.5,0.0
2024-04-29,23.6,13.6,18.0,0.0
2024-04-30,22.2,11.4,16.0,0.0
2024-05-01,22.0,12.3,16.3,0.2
2024-05-02,22.9,9.5,16.1,0.0
2024-05-03,27.8,9.7,17.4,0.0
2024-05-04,27.1,12.0,19.1,0.0
2024-05-05,18.9,14.8,17.2,66.8
2024-05-06,14.6,12.9,13.7,6.2
2024-05-07,15.2,11.7,13.1,1.9
2024-05-08,19.5,7.5,13.3,0.2
2024-05-09,19.5,8.1,14.0,0.0
2024-05-10,21.7,8.8,15.1,0.0
2024-05-11,21.6,11.5,15.8,16.2
2024-05-12,21.2,10.2,15.2,0.0
2024-05-13,22.4,10.2,16.0,0.0
2024-05-14,21.9,9.7,16.1,0.0
2024-05-15,18.1,6.6,12.3,22.7
2024-05-16,18.1,6.0,11.6,3.4
2024-05-17,22.1,7.0,15.0,0.0
2024-05-18,24.0,11.3,17.5,0.0
